#	GG	1&2	19.01.2024, 12:09:22				0	0.3	0.65	1		0	0	0
M1.1	Management		3	2	3	3.25	3	3	3	1	1	3	3	1	1	1
M1.2	Management		3	2	4	4.00	4	4	4	4	1	1	0	0	0	0
